zip_code,offense_type,latitude,longitude
78744,FAMILY DISTURBANCE,30.17890751,-97.75576042
78744,FAMILY DISTURBANCE,30.18764225,-97.76491739
78741,FAMILY DISTURBANCE,30.22900387,-97.70310447
78702,ASSAULT W/INJURY-FAM/DATE VIOL,30.25636397,-97.71086567
78741,FAMILY DISTURBANCE,30.2346995,-97.69159401
78723,FAMILY DISTURBANCE,30.29047122,-97.66966041
78758,BURGLARY OF VEHICLE,30.36420915,-97.71750225
78741,THEFT,30.22503769,-97.70296228
78745,THEFT,30.20750447,-97.75831907
78758,BURGLARY OF VEHICLE,30.39417998,-97.73238754
78741,FAMILY DISTURBANCE,30.22900387,-97.70310447
78744,ASSAULT W/INJURY-FAM/DATE VIOL,30.1762486,-97.77898062
78723,ASSAULT W/INJURY-FAM/DATE VIOL,30.31066814,-97.68829704
78753,FAMILY DISTURBANCE,30.39295402,-97.67684845
78702,THEFT,30.25955661,-97.71137775
78759,BURGLARY OF VEHICLE,30.4130653,-97.74796973
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.38020985,-97.65824212
78741,FAMILY DISTURBANCE,30.22813323,-97.73117084
78702,BURGLARY OF VEHICLE,30.2799972,-97.71218201
78744,CRIMINAL MISCHIEF,30.19590924,-97.7373484
78741,THEFT,30.23963782,-97.72022403
78758,FAMILY DISTURBANCE,30.36948655,-97.69959977
78741,BURGLARY OF VEHICLE,30.22645832,-97.69380842
78748,FAMILY DISTURBANCE,30.17352383,-97.80255884
78704,FAMILY DISTURBANCE,30.24087326,-97.78564954
78741,BURGLARY OF VEHICLE,30.24518195,-97.73032812
78753,CRIMINAL MISCHIEF,30.39605569,-97.66739695
78704,THEFT,30.240275,-97.78267513
78704,ASSAULT W/INJURY-FAM/DATE VIOL,30.24802857,-97.78726009
78753,BURGLARY OF VEHICLE,30.38382431,-97.66777636
78723,THEFT,30.31487175,-97.70465994
78753,BURGLARY OF VEHICLE,30.39964392,-97.65282613
78758,BURGLARY OF VEHICLE,30.37701238,-97.70957041
78704,BURGLARY OF VEHICLE,30.22740124,-97.75617967
78744,FAMILY DISTURBANCE,30.19570805,-97.7293371
78741,FAMILY DISTURBANCE,30.23969716,-97.69374116
78704,BURGLARY OF VEHICLE,30.24347735,-97.75319746
78745,THEFT,30.19060915,-97.77229753
78753,THEFT,30.37586384,-97.67794731
78744,THEFT,30.16033132,-97.77712252
78723,ASSAULT W/INJURY-FAM/DATE VIOL,30.2943055,-97.70015219
78704,BURGLARY OF VEHICLE,30.24307317,-97.80019446
78702,THEFT,30.27220467,-97.69806481
78745,FAMILY DISTURBANCE,30.18703535,-97.78036385
78745,FAMILY DISTURBANCE,30.19992188,-97.82341993
78753,FAMILY DISTURBANCE,30.3365449,-97.69155742
78704,ASSAULT W/INJURY-FAM/DATE VIOL,30.23975812,-97.76095288
78744,BURGLARY OF VEHICLE,30.21338216,-97.74986558
78758,BURGLARY OF VEHICLE,30.39776451,-97.72673528
78758,BURGLARY OF VEHICLE,30.39665369,-97.72323403
78704,BURGLARY OF VEHICLE,30.24989051,-97.73791827
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.27507967,-97.7437053
78704,CRIMINAL MISCHIEF,30.25049573,-97.74908168
78723,THEFT,30.31207903,-97.70581382
78704,CRIMINAL MISCHIEF,30.23015505,-97.77955977
78753,FAMILY DISTURBANCE,30.37919124,-97.67300854
78752,FAMILY DISTURBANCE,30.32984912,-97.69095763
78741,BURGLARY OF VEHICLE,30.24849791,-97.73393882
78753,THEFT,30.41357997,-97.67568979
78701,THEFT,30.26735144,-97.73909331
78741,BURGLARY OF VEHICLE,30.23205267,-97.72861054
78759,BURGLARY OF VEHICLE,30.42828502,-97.77704268
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.22642499,-97.72791034
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.23989895,-97.72953607
78701,THEFT,30.26740172,-97.73682331
78702,BURGLARY OF VEHICLE,30.26272729,-97.71794838
78753,FAMILY DISTURBANCE,30.37577226,-97.67565006
78701,THEFT,30.2671839,-97.73937664
78744,CRIMINAL MISCHIEF,30.18739944,-97.76364483
78745,FAMILY DISTURBANCE,30.22123427,-97.76449284
78744,FAMILY DISTURBANCE,30.19031629,-97.76660024
78702,BURGLARY OF VEHICLE,30.26353597,-97.71687457
78702,CRIMINAL MISCHIEF,30.26483226,-97.71705172
78744,FAMILY DISTURBANCE,30.15957223,-97.77588295
78741,THEFT,30.22087237,-97.74474376
78701,THEFT,30.26403923,-97.74476501
78744,FAMILY DISTURBANCE,30.15957223,-97.77588295
78758,FAMILY DISTURBANCE,30.35781954,-97.70966753
78748,THEFT,30.13801411,-97.80001097
78723,ASSAULT W/INJURY-FAM/DATE VIOL,30.31181222,-97.70608102
78753,CRIMINAL MISCHIEF,30.37856547,-97.67585857
78723,CRIMINAL MISCHIEF,30.30512792,-97.68053078
78741,THEFT,30.22249725,-97.70447881
78745,THEFT,30.22099223,-97.76161418
78723,FAMILY DISTURBANCE,30.31235768,-97.68207871
78748,FAMILY DISTURBANCE,30.17352383,-97.80255884
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.23289806,-97.71880686
78753,BURGLARY OF VEHICLE,30.39780089,-97.65492068
78745,ASSAULT W/INJURY-FAM/DATE VIOL,30.20183022,-97.82199935
78745,CRIMINAL MISCHIEF,30.22300262,-97.77837439
78759,BURGLARY OF VEHICLE,30.38272339,-97.73965657
78723,THEFT,30.31100496,-97.6659268
78741,FAMILY DISTURBANCE,30.23420637,-97.69448988
78701,CRIMINAL MISCHIEF,30.27587646,-97.74407368
78741,THEFT,30.22935819,-97.72621907
78701,BURGLARY OF VEHICLE,30.25370054,-97.73714423
78741,THEFT,30.23419073,-97.70402747
78753,FAMILY DISTURBANCE,30.37512391,-97.66852756
78753,CRIMINAL MISCHIEF,30.34840436,-97.69783188
78723,FAMILY DISTURBANCE,30.30755468,-97.67805181
78701,THEFT,30.26560263,-97.74087977
78701,THEFT,30.26714862,-97.73668436
78745,FAMILY DISTURBANCE,30.19992188,-97.82341993
78745,THEFT,30.23176213,-97.79621212
78701,THEFT,30.27962135,-97.7438845
78758,BURGLARY OF VEHICLE,30.40071475,-97.72520233
78704,ASSAULT W/INJURY-FAM/DATE VIOL,30.2534776,-97.76250404
78753,BURGLARY OF VEHICLE,30.40493391,-97.64642807
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.39287613,-97.6589345
78741,FAMILY DISTURBANCE,30.22664019,-97.7210571
78704,BURGLARY OF VEHICLE,30.23631461,-97.78364444
78741,ASSAULT W/INJURY-FAM/DATE VIOL,30.22664019,-97.7210571
78758,THEFT,30.40083313,-97.7226386
78723,CRIMINAL MISCHIEF,30.31359337,-97.66594084
78702,BURGLARY OF VEHICLE,30.25696165,-97.72451377
78702,BURGLARY OF VEHICLE,30.26994932,-97.70770825
78741,BURGLARY OF VEHICLE,30.24061511,-97.7344646
78759,CRIMINAL MISCHIEF,30.41152822,-97.74212461
78758,THEFT,30.3711701,-97.71587339
78745,THEFT,30.20952919,-97.78377194
